id,rating,votes
1106,7.5,130313.0
1107,7.7,22974.0
1109,6.5,171490.0
1110,6.7,90922.0
1113,7.1,10593.0
1114,6.7,3463.0
1116,8.1,650241.0
1117,5.5,116265.0
1118,7.3,2491.0
1119,7.3,24286.0
1120,7.2,6126.0
1121,7.1,3284.0
1122,7.4,12691.0
1127,6.7,576602.0
1128,6.7,2024.0
1129,6.5,46066.0
1131,6.9,4613.0
1133,6.6,142580.0
1135,6.8,30472.0
1136,6.9,47953.0
1137,6.2,292647.0
1139,7.8,623679.0
1140,7.5,521797.0
1142,8.0,189368.0
1145,7.9,111964.0
1147,5.5,52831.0
1148,7.5,13639.0
1149,8.2,10494.0
1151,7.6,35796.0
1152,7.2,15743.0
1154,8.1,1246624.0
1155,7.8,747308.0
1157,7.1,1749.0
1160,6.7,2602.0
1161,5.9,4016.0
1162,6.3,1470.0
1164,7.4,11649.0
1165,7.0,2617.0
1167,7.4,66861.0
1168,7.2,133605.0
1169,5.6,1242.0
1170,5.5,1213.0
1174,7.0,33559.0
1176,7.0,18338.0
1178,6.9,131618.0
1179,6.4,26635.0
1180,7.6,336064.0
1182,7.1,33895.0
1184,6.5,1830.0
1185,6.5,1755.0
1186,7.6,46111.0
1187,6.2,99797.0
1189,6.7,2655.0
1190,7.0,30901.0
1191,6.3,916.0
1192,7.3,30118.0
1194,7.2,9945.0
1195,6.7,1963.0
1196,8.1,42534.0
1197,6.7,13099.0
1198,6.3,438104.0
1200,6.8,208000.0
1204,7.0,16383.0
1205,6.4,56295.0
1206,7.2,137093.0
1207,7.1,51934.0
1208,5.8,32147.0
1211,7.0,13108.0
1212,5.6,110465.0
1213,7.8,505519.0
1214,7.6,223277.0
1219,5.8,36286.0
1225,8.7,6279.0
1226,8.5,1123.0
1227,8.2,523.0
1228,8.2,1381383.0
1232,5.5,34870.0
1234,6.6,63757.0
1236,8.3,23491.0
1237,7.8,10438.0
1238,7.6,296674.0
1239,6.3,67234.0
1242,7.0,134518.0
1246,6.8,471789.0
1247,6.8,51402.0
1252,4.9,36252.0
1253,7.4,86973.0
1254,7.8,51564.0
1256,8.2,1212379.0
1257,7.3,116944.0
1259,7.2,22428.0
1267,5.7,79615.0
1271,6.5,287572.0
1272,6.3,229639.0
1273,6.7,263237.0
1276,3.9,1550.0
1277,7.6,25703.0
1279,7.1,66472.0
1281,7.1,24823.0
1282,7.4,5888.0
1284,5.2,67942.0
1286,4.9,173711.0
1287,7.6,69635.0
1289,7.3,118612.0
1290,1.7,38490.0
1292,6.4,43093.0
1293,4.6,516.0
1300,6.2,2310.0
1304,6.7,123356.0
1305,7.4,31703.0
1306,7.3,71115.0
1308,6.5,900.0
1314,5.3,3610.0
1315,6.9,1663.0
1316,7.1,692.0
1318,6.7,10140.0
1319,7.1,5921.0
1320,5.9,181509.0
1323,6.1,15272.0
1324,6.3,185912.0
1326,7.9,26987.0
1327,5.0,138066.0
1328,7.9,124366.0
1329,6.9,65532.0
1332,5.9,696.0
1333,7.3,63242.0
1334,5.2,39459.0
1335,6.9,222631.0
1336,3.5,3872.0
1338,6.7,2578.0
1343,6.5,229751.0
1344,6.4,69040.0
1345,4.9,17107.0
1346,7.2,21627.0
1347,7.0,37018.0
1349,7.1,4480.0
1351,7.2,287125.0
1352,7.1,11658.0
1353,8.0,45966.0
1355,6.9,81.0
1356,6.5,19104.0
1359,8.0,85905.0
1360,6.1,255.0
1362,7.5,114231.0
1364,6.4,101484.0
1365,6.4,167473.0
1366,7.1,348970.0
1367,5.7,61718.0
1369,6.1,767.0
1371,6.3,330413.0
1373,5.4,93930.0
1375,7.3,161287.0
1377,6.8,64460.0
1379,7.1,225450.0
1380,6.8,60220.0
1381,8.5,385013.0
1382,6.6,148450.0
1384,6.2,49042.0
1385,5.4,12072.0
1389,7.3,162390.0
1392,5.9,16408.0
1393,4.8,7401.0
1396,6.5,13462.0
1397,7.3,15107.0
1399,4.6,41437.0
1400,7.1,177177.0
1402,6.1,9575.0
1404,6.0,22618.0
1406,7.2,43037.0
1409,2.7,50936.0
1410,7.4,419437.0
1413,6.8,38160.0
1414,6.9,457560.0
1415,6.1,74034.0
1416,7.3,4247.0
1418,6.8,114052.0
1423,8.3,1172572.0
1424,7.8,17739.0
1425,8.0,123736.0
1429,6.6,1280.0
1430,7.3,76122.0
1434,7.7,181516.0
1436,1.9,26191.0
1438,7.8,566561.0
1439,2.7,9918.0
1440,6.9,4319.0
1441,6.3,44821.0
1443,7.5,16637.0
1447,6.4,1220.0
1448,6.5,318083.0
1451,7.1,59137.0
1452,5.7,34559.0
1454,6.8,20970.0
1458,6.0,100484.0
1459,6.6,148203.0
1462,7.5,165980.0
1464,7.7,84274.0
1466,7.8,17815.0
1469,7.8,63984.0
1472,8.2,143530.0
1473,6.7,146639.0
1477,3.0,10819.0
1478,7.4,23390.0
1479,7.2,4485.0
1480,6.1,12862.0
1483,6.5,216542.0
1484,6.3,2266.0
1485,7.6,9293.0
1488,7.4,21307.0
1489,8.0,133016.0
1491,7.6,135897.0
1492,7.0,167957.0
1495,6.0,31074.0
1496,8.1,1330148.0
1498,7.6,159622.0
1499,6.2,21347.0
1500,7.0,10763.0
1501,6.8,74930.0
1502,6.9,28351.0
1504,6.6,13493.0
1505,5.7,3638.0
1507,7.4,9032.0
1508,7.7,37138.0
1509,6.7,124667.0
1511,5.3,12278.0
1515,5.1,7115.0
1516,6.0,213919.0
1517,7.9,673695.0
1518,6.9,355146.0
1522,6.7,49904.0
1523,7.4,250087.0
1525,6.4,36239.0
1526,4.7,3051.0
1528,6.2,192659.0
1529,6.6,62413.0
1531,7.2,164900.0
1533,7.6,301103.0
1535,7.5,52416.0
1536,7.1,125644.0
1537,7.1,89701.0
1540,6.7,10748.0
1541,7.4,42770.0
1542,6.7,12281.0
1543,7.7,50684.0
1544,7.3,115543.0
1546,7.1,77357.0
1547,6.9,81480.0
1548,5.1,101108.0
