film,filmLabel,book,bookLabel
http://www.wikidata.org/entity/Q6538593,Li'l Abner,http://www.wikidata.org/entity/Q1866715,Li'l Abner
http://www.wikidata.org/entity/Q10397430,Q10397430,http://www.wikidata.org/entity/Q4568978,91:an Karlsson
http://www.wikidata.org/entity/Q10397431,Private Number 91-Karlsson,http://www.wikidata.org/entity/Q4568978,91:an Karlsson
http://www.wikidata.org/entity/Q10397433,Q10397433,http://www.wikidata.org/entity/Q4568978,91:an Karlsson
http://www.wikidata.org/entity/Q10397435,Private Karlsson on Leave,http://www.wikidata.org/entity/Q4568978,91:an Karlsson
http://www.wikidata.org/entity/Q10397436,91:an och generalernas fnatt,http://www.wikidata.org/entity/Q4568978,91:an Karlsson
http://www.wikidata.org/entity/Q10397437,Q10397437,http://www.wikidata.org/entity/Q4568978,91:an Karlsson
http://www.wikidata.org/entity/Q10397438,Q10397438,http://www.wikidata.org/entity/Q4568978,91:an Karlsson
http://www.wikidata.org/entity/Q10405453,Q10405453,http://www.wikidata.org/entity/Q4568978,91:an Karlsson
http://www.wikidata.org/entity/Q10549428,Q10549428,http://www.wikidata.org/entity/Q3363728,Kronblom
http://www.wikidata.org/entity/Q10549431,Q10549431,http://www.wikidata.org/entity/Q3363728,Kronblom
http://www.wikidata.org/entity/Q12125251,Joe Palooka in the Big Fight,http://www.wikidata.org/entity/Q3015116,Joe Palooka
http://www.wikidata.org/entity/Q16795448,Fantastic Four,http://www.wikidata.org/entity/Q2292780,Ultimate Fantastic Four
http://www.wikidata.org/entity/Q21869463,Joe Palooka in Fighting Mad,http://www.wikidata.org/entity/Q3015116,Joe Palooka
http://www.wikidata.org/entity/Q21869464,Joe Palooka in Humphrey Takes a Chance,http://www.wikidata.org/entity/Q3015116,Joe Palooka
http://www.wikidata.org/entity/Q21869465,Joe Palooka in the Counterpunch,http://www.wikidata.org/entity/Q3015116,Joe Palooka
http://www.wikidata.org/entity/Q21869466,Joe Palooka in the Knockout,http://www.wikidata.org/entity/Q3015116,Joe Palooka
http://www.wikidata.org/entity/Q21869467,Joe Palooka in the Squared Circle,http://www.wikidata.org/entity/Q3015116,Joe Palooka
http://www.wikidata.org/entity/Q21869468,Joe Palooka in Triple Cross,http://www.wikidata.org/entity/Q3015116,Joe Palooka
http://www.wikidata.org/entity/Q21869469,Joe Palooka in Winner Take All,http://www.wikidata.org/entity/Q3015116,Joe Palooka
http://www.wikidata.org/entity/Q21869470,Joe Palooka Meets Humphrey,http://www.wikidata.org/entity/Q3015116,Joe Palooka
http://www.wikidata.org/entity/Q22000351,Gentleman Joe Palooka,http://www.wikidata.org/entity/Q3015116,Joe Palooka
http://www.wikidata.org/entity/Q51845240,Mr. Moll and the Chocolate Factory,http://www.wikidata.org/entity/Q2050493,Papa Moll
http://www.wikidata.org/entity/Q67184371,Urbanus: Cash for Trash,http://www.wikidata.org/entity/Q2213907,De avonturen van Urbanus
http://www.wikidata.org/entity/Q109984826,Twilight of the Warriors: Walled In,http://www.wikidata.org/entity/Q113997571,City Of Darkness
http://www.wikidata.org/entity/Q123154969,Q123154969,http://www.wikidata.org/entity/Q2323513,The Legendaries
http://www.wikidata.org/entity/Q51416,Men in Black,http://www.wikidata.org/entity/Q2759785,The Men in Black
http://www.wikidata.org/entity/Q156597,Men in Black II,http://www.wikidata.org/entity/Q2759785,The Men in Black
http://www.wikidata.org/entity/Q186587,Troy,http://www.wikidata.org/entity/Q8275,Iliad
http://www.wikidata.org/entity/Q205575,Batman,http://www.wikidata.org/entity/Q2633138,Batman
http://www.wikidata.org/entity/Q327713,Men in Black 3,http://www.wikidata.org/entity/Q2759785,The Men in Black
http://www.wikidata.org/entity/Q340281,The Fury of Achilles,http://www.wikidata.org/entity/Q8275,Iliad
http://www.wikidata.org/entity/Q810881,Bat Pussy,http://www.wikidata.org/entity/Q2633138,Batman
http://www.wikidata.org/entity/Q938924,Helen of Troy,http://www.wikidata.org/entity/Q8275,Iliad
http://www.wikidata.org/entity/Q3054072,Eneyida,http://www.wikidata.org/entity/Q1143998,Eneida
http://www.wikidata.org/entity/Q3144892,Helena,http://www.wikidata.org/entity/Q8275,Iliad
http://www.wikidata.org/entity/Q4065316,Q4065316,http://www.wikidata.org/entity/Q4065317,Q4065317
http://www.wikidata.org/entity/Q5002118,Bustenskjold,http://www.wikidata.org/entity/Q6179892,Jens von Bustenskjold
http://www.wikidata.org/entity/Q7744230,The Kid Stakes,http://www.wikidata.org/entity/Q5437997,Fatty Finn
